UF;Codigo;Capital;Area Territorial;Populacao_21;Ddemografica_10;IDH;RendPerCapta_21_Reais;Veiculos_21
AC;12;Rio Branco;164.173.431;906876;4.47;0.663;888;320173
AL;27;"Macei&oacute;";27.830.661;3365351;112.33;0.631;777;981823
AP;16;"Macap&aacute;";142.470.762;877613;4.69;0.708;855;224208
AM;13;Manaus;1.559.167.878;4269995;2.23;0.674;800;1014026
BA;29;Salvador;564.760.429;14985284;24.82;0.660;843;4695972
CE;23;Fortaleza;148.894.447;9240580;56.76;0.682;881;3513199
DF;53;"Bras&iacute;lia";5.760.784;3094325;444.66;0.824;2513;1979698
ES;32;"Vit&oacute;ria";46.074.448;4108508;76.25;0.740;1295;2160432
GO;52;"Goi&acirc;nia";340.242.856;7206589;17.65;0.735;1276;4369349
MA;21;"S&atilde;o Lu&iacute;s";329.651.496;7153262;19.81;0.639;635;1940475
MG;51;"Cuiab&aacute;";903.207.047;3567234;3.36;0.725;1362;2443785
MS;50;Campo Grande;357.147.995;2839188;6.86;0.729;1471;1764689
MG;31;Belo Horizonte;586.513.983;21411923;33.41;0.731;1325;12503229
PA;15;"Bel&eacute;m";1.245.870.700;8777124;6.07;0.646;847;2352727
PB;25;"Jo&atilde;o Pessoa";56.467.242;4059905;66.70;0.658;876;1470901
PR;41;Curitiba;199.298.981;11597484;52.40;0.749;1541;8339982
PE;26;Recife;98.067.877;9674793;89.62;0.673;829;3334479
PI;22;Teresina;251.755.481;3289290;12.40;0.646;837;1338918
RJ;33;Rio de Janeiro;43.750.425;17463349;365.23;0.761;1724;7296355
RN;24;Natal;52.809.599;3560903;59.99;0.684;1109;1444307
RS;43;Porto Alegre;281.707.151;11466630;37.96;0.746;1787;7689278
RO;11;Porto Velho;237.765.347;1815278;6.58;0.690;1023;1113279
RR;14;Boa Vista;223.644.530;652713;2.01;0.707;1046;250675
SC;42;"Florian&oacute;polis";95.730.690;7338473;65.27;0.774;1718;5786199
SP;35;"S&atilde;o Paulo";248.219.485;46649132;166.23;0.783;1836;31455473
SE;28;Aracaju;21.938.188;2338474;94.36;0.665;929;871776
TO;17;Palmas;277.423.627;1607363;4.98;0.699;1028;791463
